Date : 2024-07-26 08:49:05
Directory : c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source
Total : 68 files,  5033 codes, 96 comments, 1090 blanks, all 6219 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\downloader\__init__.py                  | Python           |         17 |          0 |          5 |         22 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\_logic.py                      | Python           |        227 |          4 |         62 |        293 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\clear_appdata.py               | Python           |         52 |          0 |         15 |         67 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\download.py                    | Python           |         23 |          0 |         10 |         33 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\player.py                      | Python           |         88 |          0 |         16 |        104 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\rcc_server.py                  | Python           |        171 |          2 |         29 |        202 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\studio.py                      | Python           |         42 |          0 |          9 |         51 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\web_server.py                  | Python           |         49 |          0 |         11 |         60 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\startup_scripts\rcc_server.py           | Python           |         37 |          0 |          9 |         46 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\_logic.py                    | Python           |         54 |          1 |         18 |         73 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\_logic.py           | Python           |         16 |          0 |          5 |         21 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\clear_appdata.py    | Python           |         40 |          0 |         11 |         51 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\debug.py            | Python           |         42 |          0 |         11 |         53 |
