Date : 2024-08-02 02:19:28
Directory : c:\Users\USERNAME\Documents\Projects\FilteringDisabled
Total : 63 files,  2985 codes, 73 comments, 577 blanks, all 3635 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\web_server\endpoints\player_info.py      | Python       |        -44 |         -8 |         -9 |        -61 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\web_server\endpoints\setup_player.py     | Python       |         -1 |          2 |         -1 |          0 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\web_server\endpoints\setup_rcc.py        | Python       |         23 |          0 |          2 |         25 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\web_server\endpoints\text_filter.py      | Python       |         -2 |          0 |          0 |         -2 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\WineBootstrapper\GameConfig.toml                | TOML         |         86 |          6 |         19 |        111 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\WineBootstrapper\README.md                      | Markdown     |         28 |          0 |         14 |         42 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\WineBootstrapper\host.sh                        | Shell Script |          7 |          2 |          3 |         12 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\WineBootstrapper\join.sh                        | Shell Script |         11 |          2 |          4 |         17 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\WineBootstrapper\menu.sh                        | Shell Script |         19 |          7 |          5 |         31 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\WineBootstrapper\setup.sh                       | Shell Script |         42 |         27 |         19 |         88 |
| c:\Users\USERNAME\Documents\Projects\FilteringDisabled\WineBootstrapper\stop-all.sh                    | Shell Script |          1 |          0 |          1 |          2 |
| Total                                                                                                  |              |      2,985 |         73 |        577 |      3,635 |
+--------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
