"filename", "language", "Markdown", "Python", "pip requirements", "Shell Script", "TOML", "JSON", "PowerShell", "comment", "blank", "total"
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\types\__init__.py", "Python", 0, 100, 0, 0, 0, 0, 0, 1, 25, 126
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\data_transfer\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\data_transfer\__init__.py", "Python", 0, 63, 0, 0, 0, 0, 0, 1, 16, 80
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 49, 109
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\__init__.py", "Python", 0, 91, 0, 0, 0, 0, 0, 9, 22, 122
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\downloader\__init__.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\_logic.py", "Python", 0, 227, 0, 0, 0, 0, 0, 4, 62, 293
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\clear_appdata.py", "Python", 0, 52, 0, 0, 0, 0, 0, 0, 15, 67
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\download.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 10, 33
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\player.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 15, 106
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\rcc_server.py", "Python", 0, 175, 0, 0, 0, 0, 0, 2, 30, 207
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\studio.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\web_server.py", "Python", 0, 50, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\startup_scripts\rcc_server.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\_logic.py", "Python", 0, 54, 0, 0, 0, 0, 0, 1, 18, 73
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\_logic.py", "Python", 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\clear_appdata.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 11, 51
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\debug.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 11, 53
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\download.py", "Python", 0, 29, 0, 0, 0, 0, 0, 1, 8, 38
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_launch_mode\download.py", "Python", 0, 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_launch_mode\player.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 8, 61
